Instance_ID,Method,Time,Size,Fold
71,Majoritary (SMT),0.5710375308990479,12,3
71,Sufficient (SAT),0.2530019283294678,13,3
71,Sufficient (SMT),0.7589981555938721,4,3
100,Direct,0.0010001659393310547,59,3
100,Majoritary (SAT),0.02798748016357422,8,3
100,Majoritary (SMT),0.5499756336212158,12,3
100,Sufficient (SAT),0.23403716087341309,11,3
100,Sufficient (SMT),0.7309989929199219,4,3
113,Direct,0.0010018348693847656,55,3
113,Majoritary (SAT),0.01999974250793457,9,3
113,Majoritary (SMT),0.5779619216918945,12,3
113,Sufficient (SAT),0.36200571060180664,13,3
113,Sufficient (SMT),0.7140297889709473,6,3
126,Direct,0.0,56,3
126,Majoritary (SAT),0.0189669132232666,7,3
126,Majoritary (SMT),0.6459982395172119,12,3
126,Sufficient (SAT),0.3030354976654053,13,3
126,Sufficient (SMT),0.8919656276702881,5,3
131,Direct,0.0010013580322265625,58,3
131,Majoritary (SAT),0.028998374938964844,9,3
131,Majoritary (SMT),0.5810337066650391,13,3
131,Sufficient (SAT),0.22500085830688477,7,3
131,Sufficient (SMT),0.7200045585632324,7,3
154,Direct,0.0,27,3
154,Majoritary (SAT),0.027037620544433594,7,3
154,Majoritary (SMT),0.5799906253814697,9,3
154,Sufficient (SAT),0.23798823356628418,8,3
154,Sufficient (SMT),0.7260241508483887,5,3
168,Direct,0.0009589195251464844,44,3
168,Majoritary (SAT),0.030000686645507812,9,3
168,Majoritary (SMT),0.619999885559082,11,3
168,Sufficient (SAT),0.23203611373901367,11,3
168,Sufficient (SMT),0.685964822769165,5,3
173,Direct,0.0010273456573486328,57,3
173,Majoritary (SAT),0.032998085021972656,8,3
173,Majoritary (SMT),0.6680011749267578,12,3
173,Sufficient (SAT),0.2219986915588379,10,3
173,Sufficient (SMT),0.7209651470184326,6,3
182,Direct,0.0010399818420410156,56,3
182,Majoritary (SAT),0.02399420738220215,8,3
182,Majoritary (SMT),0.6519994735717773,12,3
182,Sufficient (SAT),0.22696423530578613,8,3
182,Sufficient (SMT),0.677034854888916,8,3
191,Direct,0.0,57,3
191,Majoritary (SAT),0.02403879165649414,10,3
191,Majoritary (SMT),0.6879985332489014,13,3
191,Sufficient (SAT),0.31099867820739746,13,3
191,Sufficient (SMT),0.7729651927947998,5,3
204,Direct,0.0010216236114501953,56,3
204,Majoritary (SAT),0.019013166427612305,9,3
204,Majoritary (SMT),0.6260004043579102,12,3
204,Sufficient (SAT),0.29199981689453125,13,3
204,Sufficient (SMT),0.7309980392456055,4,3
14,Direct,0.0010347366333007812,56,4
14,Majoritary (SAT),0.03496551513671875,11,4
14,Majoritary (SMT),0.8609988689422607,13,4
14,Sufficient (SAT),0.3039994239807129,9,4
14,Sufficient (SMT),0.9270374774932861,5,4
22,Direct,0.001001119613647461,57,4
22,Majoritary (SAT),0.026999235153198242,8,4
22,Majoritary (SMT),0.8659992218017578,13,4
22,Sufficient (SAT),0.41996312141418457,13,4
22,Sufficient (SMT),1.091003179550171,6,4
25,Direct,0.0009989738464355469,50,4
